Month,season_adjust
2014 Jan,849023.8417342638
2014 Feb,829225.8515744553
2014 Mar,805841.215203294
2014 Apr,793929.1442056567
2014 May,775245.3202236665
2014 Jun,753691.3349595707
2014 Jul,737712.3651399628
2014 Aug,751200.3516813576
2014 Sep,753722.6075062484
2014 Oct,772279.2298210044
2014 Nov,758247.2621247547
2014 Dec,783834.8566284828
2015 Jan,810222.4999012112
2015 Feb,799199.2120419035
2015 Mar,832118.5335316549
2015 Apr,845145.9016702205
2015 May,853696.5758862002
2015 Jun,882429.0223898342
2015 Jul,920775.6152350715
2015 Aug,956927.2239283053
2015 Sep,933748.2974471747
2015 Oct,975771.9790626927
2015 Nov,1003569.5826085868
2015 Dec,993166.5126923202
2016 Jan,1024463.127016776
2016 Feb,1056240.7137421707
2016 Mar,1034697.1653770366
2016 Apr,1080108.89040907
2016 May,1116111.9805802847
2016 Jun,1132578.8196539509
2016 Jul,1158665.935966336
2016 Aug,1177215.2799757964
2016 Sep,1226596.2843530315
2016 Oct,1242985.3188869848
2016 Nov,1270011.7872926958
2016 Dec,1262826.5200127251
2017 Jan,1294351.8760701036
2017 Feb,1331601.6888137613
2017 Mar,1376386.1831017828
2017 Apr,1391566.24442264
2017 May,1387808.8738755924
2017 Jun,1389133.7098787823
2017 Jul,1415405.9488763316
2017 Aug,1421196.7647412533
2017 Sep,1409629.8134899633
2017 Oct,1432028.9005054252
2017 Nov,1442490.2117075415
2017 Dec,1465103.4712876081
2018 Jan,1479698.3316343639
2018 Feb,1504274.464093839
2018 Mar,1503023.0947325707
2018 Apr,1518500.5391066289
2018 May,1546682.7546056972
2018 Jun,1572029.8889805696
2018 Jul,1558529.552105442
2018 Aug,1532936.3896779865
2018 Sep,1555179.0326503331
2018 Oct,1547656.058431443
2018 Nov,1548402.0987141042
2018 Dec,1554544.5784567962
2019 Jan,1518147.59728343
2019 Feb,1503047.8283376563
2019 Mar,1533986.4024137808
2019 Apr,1503084.2725007138
2019 May,1506758.3324911355
2019 Jun,1511507.4640283794
2019 Jul,1497776.384195384
2019 Aug,1506208.3212785092
2019 Sep,1522623.9470372733
2019 Oct,1473416.6908493338
2019 Nov,1471752.4977959967
2019 Dec,1504475.697320978
