Month,remainder
2005 Jan,-577.3477393835783
2005 Feb,6235.585887501016
2005 Mar,8377.3119093501
2005 Apr,3041.2716127540916
2005 May,-6631.899454603903
2005 Jun,-4710.8193056872115
2005 Jul,-1146.2788849296048
2005 Aug,-4489.181568884756
2005 Sep,-4197.631144067738
2005 Oct,-6896.175681586377
2005 Nov,-2517.564653325826
2005 Dec,-8087.111341231503
2006 Jan,2137.068386355415
2006 Feb,2330.6980841802433
2006 Mar,1057.0474280999042
2006 Apr,-201.47105705086142
2006 May,6508.768872543238
2006 Jun,5089.620946466457
2006 Jul,-1731.7606676667929
2006 Aug,-3789.462173893582
2006 Sep,-11410.9591558408
2006 Oct,-7540.972787052393
2006 Nov,1107.3566420250572
2006 Dec,15057.832956483588
2007 Jan,4863.499137743376
2007 Feb,2474.2731784149073
2007 Mar,9205.008411943447
2007 Apr,6983.572160035837
2007 May,804.8963736738078
2007 Jun,625.4521242654882
2007 Jul,-1259.473694829736
2007 Aug,-587.753709695302
2007 Sep,-4491.015365868341
2007 Oct,386.6721890354529
2007 Nov,3391.8920833938755
2007 Dec,3683.491780910641
2008 Jan,13356.675668451935
2008 Feb,22854.741605639458
2008 Mar,13359.749318495393
2008 Apr,13551.462359185796
2008 May,10797.572697424795
2008 Jun,10077.405725284945
2008 Jul,9149.896996832918
2008 Aug,17252.166438054293
2008 Sep,31773.101510703564
2008 Oct,25383.632027141284
2008 Nov,9684.23764403537
2008 Dec,-7988.85513788322
2009 Jan,-19727.911137497053
2009 Feb,-36578.00462548714
2009 Mar,-44076.58746337984
2009 Apr,-26147.380006034393
2009 May,-16756.858731051907
2009 Jun,-9662.930644960143
2009 Jul,-4786.462824113667
2009 Aug,-10574.190944995265
2009 Sep,-3695.478455015458
2009 Oct,-2503.5187364201993
2009 Nov,-5775.1743156164885
2009 Dec,-1588.9749606382102
2010 Jan,-1321.9583366313018
2010 Feb,-5063.826209389139
2010 Mar,4051.0980383991264
2010 Apr,516.0228399247862
2010 May,6241.981330181938
2010 Jun,5417.532311964314
2010 Jul,916.1031664242037
2010 Aug,-5001.621496019419
2010 Sep,-8845.706388462335
2010 Oct,-9275.560810375027
2010 Nov,-2076.8778025018983
2010 Dec,5959.8734254948795
2011 Jan,9587.301249848213
2011 Feb,19895.33383102622
2011 Mar,13255.65048805112
2011 Apr,12640.759338933509
2011 May,853.7510862196796
2011 Jun,-2817.126786785666
2011 Jul,3030.240194490645
2011 Aug,5259.062222747598
2011 Sep,1061.9511542641558
2011 Oct,880.2062293710187
2011 Nov,1870.0732903033495
2011 Dec,-2008.262186842505
2012 Jan,-572.2639358998276
2012 Feb,542.6812676028349
2012 Mar,6937.535696422216
2012 Apr,-2382.2969514476135
2012 May,-201.13207783736289
2012 Jun,-138.28037461964414
2012 Jul,-2410.6584256901406
2012 Aug,4347.652169458102
2012 Sep,1296.370283159893
2012 Oct,1561.0806648372672
2012 Nov,-5056.488794227596
2012 Dec,-4806.192741491832
2013 Jan,-9580.394525168464
2013 Feb,-13622.943486787844
2013 Mar,-8218.87684385525
2013 Apr,-5518.74559138529
2013 May,2283.6968948948197
2013 Jun,1186.0509523754008
2013 Jul,-886.6963502732106
2013 Aug,-571.5530486078933
2013 Sep,227.09877706877887
2013 Oct,-5686.311583145056
2013 Nov,3647.1611156682484
2013 Dec,283.33668926078826
2014 Jan,2081.3601632434875
2014 Feb,2610.6253935610875
2014 Mar,-558.9950942415744
2014 Apr,2153.1451869946904
2014 May,-4705.296255804133
2014 Jun,-4384.5116885975
2014 Jul,-3014.133745973464
2014 Aug,-1899.585255233571
2014 Sep,-853.4095121719874
2014 Oct,-671.2461457289755
2014 Nov,-3771.3269433057867
2014 Dec,-2255.484758063685
2015 Jan,-2928.9494773116894
2015 Feb,4958.824732461479
2015 Mar,4390.138481438626
2015 Apr,425.11812263261527
2015 May,561.6000572461635
2015 Jun,1392.8101428449154
2015 Jul,3559.074903408531
2015 Aug,-3107.4376118527725
2015 Sep,-3018.170499058906
2015 Oct,2097.5688879135996
2015 Nov,-5359.373919259757
2015 Dec,518.9735870449804
2016 Jan,9595.964494661428
2016 Feb,4234.9732661959715
2016 Mar,-5184.412148834206
2016 Apr,-1001.4076045984402
2016 May,-4053.633219486568
2016 Jun,-3045.0420969370753
2016 Jul,-1860.2788759185933
2016 Aug,-3758.0037524811924
2016 Sep,-9474.451786766294
2016 Oct,1955.0043218559586
2016 Nov,-2269.1549594700336
2016 Dec,-750.9229971361347
2017 Jan,-2616.0204800572246
2017 Feb,-1126.3007675483823
2017 Mar,2352.9873148179613
2017 Apr,1054.986300546676
2017 May,1228.89664206421
2017 Jun,-2877.8838220746256
2017 Jul,1103.4473257376812
2017 Aug,-1429.1630645683035
2017 Sep,6824.94367880933
2017 Oct,-8503.622731110547
2017 Nov,9702.898008909542
2017 Dec,22712.147289388347
2018 Jan,8007.425351818558
2018 Feb,-4586.899450207595
2018 Mar,-4693.486730968114
2018 Apr,-4091.8874991806224
2018 May,3837.7665185267106
2018 Jun,5892.839050467592
2018 Jul,-3799.748411993962
2018 Aug,-1889.549053336028
2018 Sep,-4696.862355856691
2018 Oct,2320.6202916842885
2018 Nov,46.446421118453145
2018 Dec,-5838.109743182082
2019 Jan,-232.2991676046513
2019 Feb,5577.002679760568
2019 Mar,7656.3020336828195
2019 Apr,4835.040587279014
2019 May,754.8841956956312
2019 Jun,1661.8014219542965
2019 Jul,-683.4363229805604
2019 Aug,2406.848628003616
2019 Sep,5416.796533942223
2019 Oct,5916.543989126105
2019 Nov,4090.485955757089
2019 Dec,-20175.286246495787
