date,s1
2014-01-31,4.603067977896221
2014-02-28,4.603568904621118
2014-03-31,4.603067977896221
2014-04-30,4.603468739348334
2014-05-31,4.602667055769973
2014-06-30,4.603468739348334
2014-07-31,4.603568904621118
2014-08-31,4.603969465411573
2014-09-30,4.60487014097909
2014-10-31,4.603869340255043
2014-11-30,4.603268378698495
2014-12-31,4.600358628990869
2015-01-31,4.598950886174174
2015-02-28,4.602265972840701
2015-03-31,4.604369865817322
2015-04-30,4.605270180988425
2015-05-31,4.607267984070237
2015-06-30,4.607766811835357
2015-07-31,4.606768907351788
2015-08-31,4.6061696863211745
2015-09-30,4.605470140997089
2015-10-31,4.6063694665635735
2015-11-30,4.606669062111827
2015-12-31,4.604670060946409
2016-01-31,4.602165676967792
2016-02-29,4.601362947645137
2016-03-31,4.603468739348334
2016-04-30,4.603468739348334
2016-05-31,4.605969866158656
2016-06-30,4.60816569496789
2016-07-31,4.608365076884611
2016-08-31,4.608365076884611
2016-09-30,4.609460967405248
2016-10-31,4.611450423945242
2016-11-30,4.612642200826793
2016-12-31,4.615714399863762
2017-01-31,4.619073091157083
2017-02-28,4.620846665373099
2017-03-31,4.6198617347310815
2017-04-30,4.621338767149675
2017-05-31,4.620452809519248
2017-06-30,4.620058798481842
2017-07-31,4.620846665373099
2017-08-31,4.622813621160686
2017-09-30,4.62477671562701
2017-10-31,4.625168872494781
2017-11-30,4.628202885098664
2017-12-31,4.629374874684909
2018-01-31,4.6321041872281725
2018-02-28,4.632298853376344
2018-03-31,4.633563260489309
2018-04-30,4.63463189613771
2018-05-31,4.638895055389712
2018-06-30,4.640247712600788
2018-07-31,4.6417913694437365
2018-08-31,4.6430438384161725
2018-09-30,4.645448032486661
2018-10-31,4.647750633523209
2018-11-30,4.647654797594247
2018-12-31,4.644583188344926
2019-01-31,4.6447754405804504
2019-02-28,4.646120172317046
2019-03-31,4.647750633523209
2019-04-30,4.650621448892009
2019-05-31,4.6515765588022475
2019-06-30,4.652149187182086
2019-07-31,4.652912181973512
2019-08-31,4.654055583717902
2019-09-30,4.654626794700683
2019-10-31,4.655387902148709
2019-11-30,4.656528478263233
2019-12-31,4.6579523714270605
