index,value
Jan 2005,2397795.5111733847
Feb 2005,2402491.9359528897
Mar 2005,2409620.3828737247
Apr 2005,2412457.9181930297
May 2005,2414891.5306193596
Jun 2005,2422094.1511876113
Jul 2005,2428284.959575393
Aug 2005,2435501.8462942713
Sep 2005,2441667.694130337
Oct 2005,2445922.5065049175
Nov 2005,2450156.9320653896
Dec 2005,2454265.6214296934
Jan 2006,2463137.157244958
Feb 2006,2472461.592653619
Mar 2006,2479445.4801014233
Apr 2006,2490680.751572604
May 2006,2500045.4951619194
Jun 2006,2506341.613265477
Jul 2006,2508473.796203083
Aug 2006,2514527.5079405904
Sep 2006,2518727.015856327
Oct 2006,2530341.3900607037
Nov 2006,2542299.9426605036
Dec 2006,2556499.307278793
Jan 2007,2553664.7124183015
Feb 2007,2556751.0040212823
Mar 2007,2566321.483560417
Apr 2007,2577525.069593341
May 2007,2574699.8964214143
Jun 2007,2579675.993985245
Jul 2007,2584983.3310387987
Aug 2007,2588673.4225378092
Sep 2007,2592501.1164233917
Oct 2007,2597459.679081219
Nov 2007,2603733.2872455507
Dec 2007,2606389.41367323
Jan 2008,2611311.8512548017
Feb 2008,2618567.0092466036
Mar 2008,2612341.489498595
Apr 2008,2607225.4890637966
May 2008,2607208.928040131
Jun 2008,2602641.2228960716
Jul 2008,2596459.5295501794
Aug 2008,2591258.3677154537
Sep 2008,2589702.122734367
Oct 2008,2570031.8048158227
Nov 2008,2548519.1852451963
Dec 2008,2522441.8999389806
Jan 2009,2486465.3142031743
Feb 2009,2463057.4023612607
Mar 2009,2451448.6034355657
Apr 2009,2463963.304721977
May 2009,2466360.9968975154
Jun 2009,2468694.528380509
Jul 2009,2473470.9421277368
Aug 2009,2474829.1699231165
Sep 2009,2478889.1979491464
Oct 2009,2483656.8651118567
Nov 2009,2484409.869872964
Dec 2009,2492683.5450151786
Jan 2010,2490912.1455181134
Feb 2010,2494736.6503272946
Mar 2010,2506339.6441545933
Apr 2010,2515114.6568322987
May 2010,2523028.5496832356
Jun 2010,2526970.8334844667
Jul 2010,2530867.24688612
Aug 2010,2531554.9405708695
Sep 2010,2535399.4425430107
Oct 2010,2540754.4037616285
Nov 2010,2547653.9061220973
Dec 2010,2556724.550116274
Jan 2011,2564058.7413126
Feb 2011,2573981.604613292
Mar 2011,2571543.944074109
Apr 2011,2575359.9179014633
May 2011,2566566.1987762535
Jun 2011,2568161.7533222833
Jul 2011,2573634.671560669
Aug 2011,2574174.5410118606
Sep 2011,2571620.657427471
Oct 2011,2568306.981931073
Nov 2011,2563605.141907895
Dec 2011,2558968.786161033
Jan 2012,2557717.1655652625
Feb 2012,2555388.965379712
Mar 2012,2558861.879055026
Apr 2012,2551868.6443565344
May 2012,2549864.6488983645
Jun 2012,2549492.746745101
Jul 2012,2547894.292184965
Aug 2012,2548678.6059564296
Sep 2012,2546207.2718586065
Oct 2012,2542170.686654939
Nov 2012,2535304.014099357
Dec 2012,2532653.6192457043
Jan 2013,2526355.7228142433
Feb 2013,2524888.190598387
Mar 2013,2529903.7165873693
Apr 2013,2534732.3712244686
May 2013,2543492.0577044804
Jun 2013,2543615.5310710515
Jul 2013,2546099.101744074
Aug 2013,2549001.798852504
Sep 2013,2550597.249403421
Oct 2013,2551375.717584041
Nov 2013,2557191.524013926
Dec 2013,2558647.8984020334
Jan 2014,2563340.2451118203
Feb 2014,2566157.4134641923
Mar 2014,2569715.1514239884
Apr 2014,2570980.9585649245
May 2014,2570460.523819499
Jun 2014,2574908.6776155774
Jul 2014,2576470.8612974365
Aug 2014,2585438.671822845
Sep 2014,2587177.436879719
Oct 2014,2590403.1358419233
Nov 2014,2593882.0608160836
Dec 2014,2599057.0033419933
Jan 2015,2607355.7067017052
Feb 2015,2612669.9140974507
Mar 2015,2614740.7192008444
Apr 2015,2618263.251453292
May 2015,2623742.4177549537
Jun 2015,2627124.2307917546
Jul 2015,2631151.3513196316
Aug 2015,2633714.7624993576
Sep 2015,2636579.3961810116
Oct 2015,2642899.5853734463
Nov 2015,2642991.4587958567
Dec 2015,2653527.2658306975
Jan 2016,2658110.5595767666
Feb 2016,2661836.6178134982
Mar 2016,2662503.282609735
Apr 2016,2663431.707156605
May 2016,2668205.047746073
Jun 2016,2670496.465097322
Jul 2016,2675446.9296612595
Aug 2016,2679913.175418425
Sep 2016,2681198.564920316
Oct 2016,2697037.3892881703
Nov 2016,2700049.472002398
Dec 2016,2707034.2387094316
Jan 2017,2711633.986535153
Feb 2017,2717168.621128779
Mar 2017,2728319.3123360686
Apr 2017,2732395.3828658955
May 2017,2739248.1008318393
Jun 2017,2745132.2063022656
Jul 2017,2753352.7896913714
Aug 2017,2756064.014121585
Sep 2017,2771056.0561870444
Oct 2017,2772758.0300611868
Nov 2017,2785901.534406913
Dec 2017,2793224.155531901
Jan 2018,2788574.519868922
Feb 2018,2784730.6700597457
Mar 2018,2789551.3300713324
Apr 2018,2794870.6832910045
May 2018,2801526.2920098496
Jun 2018,2804275.234699146
Jul 2018,2802678.2762917094
Aug 2018,2803969.9173265076
Sep 2018,2804608.3163817837
Oct 2018,2813063.3985627005
Nov 2018,2820406.971685845
Dec 2018,2819566.9297514562
Jan 2019,2825551.4309609667
Feb 2019,2831744.873640208
Mar 2019,2835840.105398826
Apr 2019,2837172.5743909897
May 2019,2834078.158555225
Jun 2019,2838416.187053785
Jul 2019,2838872.7159965415
Aug 2019,2842828.7559909583
Sep 2019,2846284.2280125003
Oct 2019,2849751.2104559727
Nov 2019,2850796.436124005
Dec 2019,2835118.7134200227
Jan 2020,2812806.178243825
Feb 2020,2773418.5958933905
Mar 2020,2627877.015862786
Apr 2020,2385733.7497720434
May 2020,2387682.1201567226
Jun 2020,2490932.0900712325
Jul 2020,2651299.4319707737
Aug 2020,2754323.4427180123
Sep 2020,2768451.8053112137
Oct 2020,2732672.481772928
Nov 2020,2685959.700065475
Dec 2020,2699214.7881615986
Jan 2021,2718986.686441668
Feb 2021,2751172.5426930925
